filename,score
BILLS-109s3799.txt,6
BILLS-112s1475.txt,2
BILLS-107hr685.txt,8
BILLS-109hr4080.txt,5
BILLS-109s2487.txt,6
BILLS-116hr1315.txt,7
BILLS-110hr4685.txt,8
BILLS-117hr8018.txt,8
BILLS-117hr1982.txt,8
BILLS-115s9.txt,5
BILLS-117hres221.txt,5
BILLS-115hr5345.txt,5
BILLS-113s208.txt,7
BILLS-118hr3904.txt,5
BILLS-116hr5601.txt,2
BILLS-114hr5078.txt,8
BILLS-112s1307.txt,5
BILLS-115s2441.txt,3
BILLS-110hr3840.txt,8
BILLS-115hr1889.txt,10
BILLS-108hr2914.txt,6
BILLS-116hr2608.txt,8
BILLS-112s79.txt,8
BILLS-114s1612.txt,3
BILLS-107hr1468.txt,4
BILLS-115hr1679.txt,5
BILLS-108s21.txt,4
BILLS-112s741.txt,8
BILLS-107hr2161.txt,2
BILLS-117hr4178.txt,5
BILLS-114s3005.txt,5
BILLS-110hr6910.txt,3
BILLS-118hr3092.txt,8
BILLS-111s3580.txt,7
BILLS-112s999.txt,3
BILLS-106hr3630.txt,7
BILLS-114hr5050.txt,5
BILLS-117sres363.txt,5
BILLS-110hr1919.txt,9
BILLS-115s3011.txt,8
BILLS-117hr8024.txt,4
BILLS-113hr3486.txt,3
BILLS-115s70.txt,5
BILLS-112s3538.txt,0
BILLS-118hr7586.txt,5
BILLS-115hr6664.txt,3
BILLS-113hr3492.txt,5
BILLS-114s1160.txt,8
BILLS-116hr2152.txt,8
BILLS-106s2934.txt,9
BILLS-106hr3624.txt,7
BILLS-111hr6393.txt,2
BILLS-108hr288.txt,3
BILLS-117sres411.txt,8
BILLS-111s2852.txt,8
BILLS-110s485.txt,8
BILLS-113s2626.txt,5
BILLS-111s696.txt,5
BILLS-108hr2928.txt,5
BILLS-107s2920.txt,5
BILLS-116hr6452.txt,5
BILLS-111hr2693.txt,7
BILLS-115hr6102.txt,0
BILLS-112s2154.txt,8
BILLS-118s3301.txt,7
BILLS-118hr8138.txt,7
BILLS-116s1899.txt,8
BILLS-109hr4043.txt,3
BILLS-115s1821.txt,5
BILLS-117s1655.txt,2
BILLS-115hr4098.txt,0
BILLS-116s3730.txt,2
BILLS-116hres852.txt,5
BILLS-118s2779.txt,8
BILLS-113hr4316.txt,5
BILLS-110hr5558.txt,2
